0.549342	0.812183
0.655843	0.872964
0.252158	0.841005
0.326677	0.222428
0.420012	0.285436
0.102084	0.829006
0.539061	0.140037
0.794226	0.451633
0.533617	0.683837
0.539673	0.790571
0.069963	0.723425
0.285198	0.142087
0.688699	0.701995
0.840449	0.979598
0.268076	0.219932
0.180596	0.733891
0.660581	0.891336
0.933527	0.002597
0.429178	0.376184
0.620003	0.855422
0.862751	0.148259
0.714650	0.135256
0.787987	0.256035
0.299620	0.712199
0.757914	0.328693
0.728858	0.495914
0.823956	0.138094
0.914368	0.446508
0.726787	0.149651
0.171185	0.843945
0.744810	0.358623
0.292390	0.245018
0.345897	0.426971
0.051568	0.751906
0.436237	0.923906
0.298636	0.587701
0.816783	0.829333
0.186088	0.064299
0.635233	0.398103
0.578603	0.035364
0.099790	0.101307
0.289499	0.700667
0.095173	0.421815
0.420553	0.797756
0.923464	0.874890
0.960433	0.027816
0.060038	0.886233
0.395822	0.440678
0.531441	0.633270
0.759898	0.757524
0.950987	0.772858
0.589898	0.633064
0.360363	0.692922
0.711064	0.684370
0.180650	0.800860
0.140012	0.817506
0.529139	0.313374
0.023514	0.453242
0.511004	0.057231
0.809077	0.725953
0.715643	0.142634
0.197985	0.790107
0.669510	0.071643
0.949719	0.207477
0.471313	0.315643
0.835807	0.565564
0.714836	0.194062
0.292875	0.815266
0.587557	0.755688
0.374472	0.712354
0.693208	0.787029
0.616798	0.879321
0.433114	0.114677
0.554516	0.475109
0.691684	0.195155
0.401948	0.429608
0.119590	0.781707
0.328800	0.007006
0.666268	0.648929
0.341422	0.565373
0.415586	0.614025
0.335463	0.511562
0.243102	0.290455
0.500674	0.331377
0.731248	0.970754
0.174921	0.512365
0.823467	0.846315
0.565975	0.764419
0.242282	0.858062
0.554448	0.503963
0.440938	0.340563
0.784552	0.667377
0.038165	0.855391
0.657295	0.695530
0.801908	0.335060
0.805957	0.791207
0.390670	0.491985
0.397514	0.220916
0.314628	0.046939
0.080573	0.243694
0.759091	0.229772
0.313824	0.650195
0.431452	0.841918
0.277898	0.831363
0.074193	0.040226
0.306891	0.890173
0.621652	0.936891
0.830976	0.943116
0.294853	0.997362
0.277609	0.216521
0.187641	0.601662
0.841750	0.754101
0.375782	0.154048
0.488029	0.661353
0.297669	0.664521
0.335389	0.655787
0.568141	0.745001
0.372198	0.595444
0.126497	0.668717
0.490834	0.687569
0.887416	0.987514
0.792158	0.238143
0.939647	0.321565
0.054076	0.583624
0.809609	0.365785
0.842025	0.377867
